Filename,Breed,Width,Height,Channels
english_cocker_spaniel_141.jpg,english_cocker_spaniel,333,500,3
pomeranian_119.jpg,pomeranian,300,225,3
British_Shorthair_3.jpg,British_Shorthair,275,196,3
boxer_147.jpg,boxer,500,375,3
Bombay_150.jpg,Bombay,200,182,3
havanese_119.jpg,havanese,500,307,3
german_shorthaired_100.jpg,german_shorthaired,500,333,3
german_shorthaired_188.jpg,german_shorthaired,500,375,3
Bombay_116.jpg,Bombay,205,320,3
Birman_148.jpg,Birman,500,320,3
newfoundland_28.jpg,newfoundland,281,500,3
Russian_Blue_95.jpg,Russian_Blue,400,500,3
boxer_98.jpg,boxer,500,347,3
Maine_Coon_2.jpg,Maine_Coon,245,300,3
beagle_72.jpg,beagle,500,333,3
japanese_chin_109.jpg,japanese_chin,500,444,3
havanese_82.jpg,havanese,500,333,3
english_cocker_spaniel_153.jpg,english_cocker_spaniel,500,281,3
newfoundland_86.jpg,newfoundland,332,500,3
Maine_Coon_9.jpg,Maine_Coon,600,400,3
chihuahua_6.jpg,chihuahua,500,333,3
english_cocker_spaniel_107.jpg,english_cocker_spaniel,500,380,3
pomeranian_175.jpg,pomeranian,288,282,3
Birman_175.jpg,Birman,500,334,3
shiba_inu_122.jpg,shiba_inu,327,500,3
Siamese_96.jpg,Siamese,500,379,3
pomeranian_187.jpg,pomeranian,300,287,3
staffordshire_bull_terrier_33.jpg,staffordshire_bull_terrier,500,375,3
german_shorthaired_52.jpg,german_shorthaired,400,500,3
english_cocker_spaniel_103.jpg,english_cocker_spaniel,500,381,3
British_Shorthair_248.jpg,British_Shorthair,293,300,3
german_shorthaired_132.jpg,german_shorthaired,500,333,3
Bengal_160.jpg,Bengal,296,300,3
Sphynx_144.jpg,Sphynx,333,500,3
Ragdoll_258.jpg,Ragdoll,400,282,3
german_shorthaired_10.jpg,german_shorthaired,320,500,3
Siamese_140.jpg,Siamese,367,500,3
pug_70.jpg,pug,500,358,3
scottish_terrier_97.jpg,scottish_terrier,375,500,3
Siamese_100.jpg,Siamese,500,375,3
newfoundland_122.jpg,newfoundland,500,400,3
miniature_pinscher_32.jpg,miniature_pinscher,500,375,3
Russian_Blue_239.jpg,Russian_Blue,200,300,3
Russian_Blue_206.jpg,Russian_Blue,500,411,3
Bengal_195.jpg,Bengal,368,276,3
chihuahua_136.jpg,chihuahua,200,182,3
Maine_Coon_207.jpg,Maine_Coon,500,333,3
havanese_98.jpg,havanese,500,332,3
american_bulldog_143.jpg,american_bulldog,500,333,3
Egyptian_Mau_8.jpg,Egyptian_Mau,600,403,3
Persian_5.jpg,Persian,600,428,3
havanese_83.jpg,havanese,333,500,3
pug_62.jpg,pug,500,375,3
Sphynx_107.jpg,Sphynx,334,500,3
pomeranian_48.jpg,pomeranian,500,375,3
beagle_81.jpg,beagle,375,500,3
Ragdoll_71.jpg,Ragdoll,500,335,3
saint_bernard_77.jpg,saint_bernard,456,500,3
shiba_inu_142.jpg,shiba_inu,500,334,3
keeshond_96.jpg,keeshond,375,500,3
scottish_terrier_99.jpg,scottish_terrier,500,334,3
Maine_Coon_80.jpg,Maine_Coon,375,500,3
keeshond_53.jpg,keeshond,500,412,3
Egyptian_Mau_105.jpg,Egyptian_Mau,450,427,3
leonberger_192.jpg,leonberger,375,500,3
yorkshire_terrier_50.jpg,yorkshire_terrier,500,441,3
Maine_Coon_109.jpg,Maine_Coon,500,333,3
Persian_186.jpg,Persian,375,500,3
german_shorthaired_140.jpg,german_shorthaired,333,500,3
Maine_Coon_253.jpg,Maine_Coon,300,225,3
Bombay_193.jpg,Bombay,300,225,3
staffordshire_bull_terrier_102.jpg,staffordshire_bull_terrier,333,500,3
Egyptian_Mau_214.jpg,Egyptian_Mau,300,225,3
Birman_50.jpg,Birman,500,375,3
Russian_Blue_72.jpg,Russian_Blue,375,500,3
