image_path,filename,breed,label,true_breed,predicted_label,predicted_breed,confidence,true_class_probability,probability_margin,correct
/tmp/.keras/oxford_iiit_pet/images_extracted/images/havanese_170.jpg,havanese_170.jpg,havanese,22,havanese,27,newfoundland,0.9904695,0.0023799303,0.98808956,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/keeshond_130.jpg,keeshond_130.jpg,keeshond,24,keeshond,25,leonberger,0.98174185,0.012199834,0.969542,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/chihuahua_21.jpg,chihuahua_21.jpg,chihuahua,17,chihuahua,33,shiba_inu,0.97696257,0.016379964,0.9605826,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/basset_hound_68.jpg,basset_hound_68.jpg,basset_hound,14,basset_hound,15,beagle,0.9708499,0.028698418,0.9421514,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/saint_bernard_148.jpg,saint_bernard_148.jpg,saint_bernard,30,saint_bernard,16,boxer,0.9619254,0.009358372,0.95256704,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/Bengal_161.jpg,Bengal_161.jpg,Bengal,1,Bengal,5,Egyptian_Mau,0.95985997,0.03793665,0.92192334,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/Russian_Blue_150.jpg,Russian_Blue_150.jpg,Russian_Blue,9,Russian_Blue,4,British_Shorthair,0.95897466,0.036361724,0.9226129,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/Bengal_18.jpg,Bengal_18.jpg,Bengal,1,Bengal,6,Maine_Coon,0.9329742,0.06437933,0.8685949,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/american_pit_bull_terrier_191.jpg,american_pit_bull_terrier_191.jpg,american_pit_bull_terrier,13,american_pit_bull_terrier,34,staffordshire_bull_terrier,0.9316544,0.019858174,0.9117962,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/staffordshire_bull_terrier_45.jpg,staffordshire_bull_terrier_45.jpg,staffordshire_bull_terrier,34,staffordshire_bull_terrier,13,american_pit_bull_terrier,0.9244946,0.0072120694,0.9172826,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/Ragdoll_252.jpg,Ragdoll_252.jpg,Ragdoll,8,Ragdoll,2,Birman,0.9223545,0.06796839,0.85438615,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/Russian_Blue_112.jpg,Russian_Blue_112.jpg,Russian_Blue,9,Russian_Blue,4,British_Shorthair,0.9193031,0.07894555,0.84035754,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/Maine_Coon_187.jpg,Maine_Coon_187.jpg,Maine_Coon,6,Maine_Coon,8,Ragdoll,0.903996,0.092817,0.811179,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/american_pit_bull_terrier_65.jpg,american_pit_bull_terrier_65.jpg,american_pit_bull_terrier,13,american_pit_bull_terrier,34,staffordshire_bull_terrier,0.90329045,0.09457218,0.80871826,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/Birman_84.jpg,Birman_84.jpg,Birman,2,Birman,8,Ragdoll,0.90145445,0.09474551,0.80670893,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/Ragdoll_235.jpg,Ragdoll_235.jpg,Ragdoll,8,Ragdoll,10,Siamese,0.8987396,0.006165073,0.8925745,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/Bengal_189.jpg,Bengal_189.jpg,Bengal,1,Bengal,5,Egyptian_Mau,0.89782095,0.081072114,0.81674886,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/Egyptian_Mau_148.jpg,Egyptian_Mau_148.jpg,Egyptian_Mau,5,Egyptian_Mau,4,British_Shorthair,0.88798267,0.01602437,0.8719583,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/staffordshire_bull_terrier_179.jpg,staffordshire_bull_terrier_179.jpg,staffordshire_bull_terrier,34,staffordshire_bull_terrier,12,american_bulldog,0.8797633,0.074140474,0.8056228,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/chihuahua_196.jpg,chihuahua_196.jpg,chihuahua,17,chihuahua,28,pomeranian,0.87901443,0.0054236036,0.8735908,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/chihuahua_105.jpg,chihuahua_105.jpg,chihuahua,17,chihuahua,26,miniature_pinscher,0.8745907,0.02276088,0.8518298,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/staffordshire_bull_terrier_190.jpg,staffordshire_bull_terrier_190.jpg,staffordshire_bull_terrier,34,staffordshire_bull_terrier,12,american_bulldog,0.8737713,0.06782479,0.8059465,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/chihuahua_12.jpg,chihuahua_12.jpg,chihuahua,17,chihuahua,33,shiba_inu,0.872257,0.11375963,0.75849736,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/Russian_Blue_29.jpg,Russian_Blue_29.jpg,Russian_Blue,9,Russian_Blue,4,British_Shorthair,0.8712465,0.11475333,0.7564932,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/american_pit_bull_terrier_19.jpg,american_pit_bull_terrier_19.jpg,american_pit_bull_terrier,13,american_pit_bull_terrier,34,staffordshire_bull_terrier,0.8697398,0.12454921,0.74519056,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/Bengal_141.jpg,Bengal_141.jpg,Bengal,1,Bengal,5,Egyptian_Mau,0.8656368,0.13425466,0.73138213,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/american_pit_bull_terrier_176.jpg,american_pit_bull_terrier_176.jpg,american_pit_bull_terrier,13,american_pit_bull_terrier,34,staffordshire_bull_terrier,0.8633042,0.11987999,0.7434242,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/american_pit_bull_terrier_49.jpg,american_pit_bull_terrier_49.jpg,american_pit_bull_terrier,13,american_pit_bull_terrier,34,staffordshire_bull_terrier,0.86330307,0.046392836,0.8169102,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/chihuahua_177.jpg,chihuahua_177.jpg,chihuahua,17,chihuahua,26,miniature_pinscher,0.842656,0.09289649,0.74975955,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/Russian_Blue_100.jpg,Russian_Blue_100.jpg,Russian_Blue,9,Russian_Blue,4,British_Shorthair,0.83599335,0.14902812,0.6869652,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/Ragdoll_93.jpg,Ragdoll_93.jpg,Ragdoll,8,Ragdoll,21,great_pyrenees,0.83282727,0.04629946,0.7865278,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/american_bulldog_65.jpg,american_bulldog_65.jpg,american_bulldog,12,american_bulldog,30,saint_bernard,0.8253718,0.0964944,0.7288774,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/samoyed_191.jpg,samoyed_191.jpg,samoyed,31,samoyed,24,keeshond,0.82134116,0.15235752,0.66898364,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/Bengal_48.jpg,Bengal_48.jpg,Bengal,1,Bengal,5,Egyptian_Mau,0.81261235,0.16237795,0.6502344,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/saint_bernard_196.jpg,saint_bernard_196.jpg,saint_bernard,30,saint_bernard,23,japanese_chin,0.7989754,9.6943995e-06,0.7989657,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/Ragdoll_30.jpg,Ragdoll_30.jpg,Ragdoll,8,Ragdoll,2,Birman,0.7937698,0.13479519,0.6589746,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/miniature_pinscher_38.jpg,miniature_pinscher_38.jpg,miniature_pinscher,26,miniature_pinscher,34,staffordshire_bull_terrier,0.79044783,0.011222502,0.77922535,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/american_pit_bull_terrier_100.jpg,american_pit_bull_terrier_100.jpg,american_pit_bull_terrier,13,american_pit_bull_terrier,12,american_bulldog,0.76981753,0.14557813,0.6242394,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/staffordshire_bull_terrier_86.jpg,staffordshire_bull_terrier_86.jpg,staffordshire_bull_terrier,34,staffordshire_bull_terrier,12,american_bulldog,0.75733274,0.21582808,0.5415047,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/american_bulldog_188.jpg,american_bulldog_188.jpg,american_bulldog,12,american_bulldog,34,staffordshire_bull_terrier,0.7564414,0.11449674,0.64194465,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/staffordshire_bull_terrier_78.jpg,staffordshire_bull_terrier_78.jpg,staffordshire_bull_terrier,34,staffordshire_bull_terrier,31,samoyed,0.74713767,0.15536664,0.591771,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/Russian_Blue_43.jpg,Russian_Blue_43.jpg,Russian_Blue,9,Russian_Blue,3,Bombay,0.7267702,0.13052121,0.596249,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/shiba_inu_159.jpg,shiba_inu_159.jpg,shiba_inu,33,shiba_inu,26,miniature_pinscher,0.7189138,0.24678327,0.47213054,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/american_pit_bull_terrier_11.jpg,american_pit_bull_terrier_11.jpg,american_pit_bull_terrier,13,american_pit_bull_terrier,34,staffordshire_bull_terrier,0.7145336,0.27150166,0.44303197,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/Birman_31.jpg,Birman_31.jpg,Birman,2,Birman,8,Ragdoll,0.71404696,0.2633196,0.45072734,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/staffordshire_bull_terrier_111.jpg,staffordshire_bull_terrier_111.jpg,staffordshire_bull_terrier,34,staffordshire_bull_terrier,29,pug,0.7119725,0.25072557,0.4612469,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/Persian_149.jpg,Persian_149.jpg,Persian,7,Persian,8,Ragdoll,0.7089824,0.1989059,0.5100765,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/British_Shorthair_112.jpg,British_Shorthair_112.jpg,British_Shorthair,4,British_Shorthair,9,Russian_Blue,0.7074063,0.27543497,0.4319713,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/Bengal_132.jpg,Bengal_132.jpg,Bengal,1,Bengal,5,Egyptian_Mau,0.70349324,0.2721655,0.43132773,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/english_cocker_spaniel_187.jpg,english_cocker_spaniel_187.jpg,english_cocker_spaniel,18,english_cocker_spaniel,36,yorkshire_terrier,0.69177103,0.25867236,0.43309867,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/Siamese_160.jpg,Siamese_160.jpg,Siamese,10,Siamese,2,Birman,0.68888354,0.060672488,0.6282111,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/american_pit_bull_terrier_27.jpg,american_pit_bull_terrier_27.jpg,american_pit_bull_terrier,13,american_pit_bull_terrier,12,american_bulldog,0.68550915,0.084752314,0.6007568,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/British_Shorthair_3.jpg,British_Shorthair_3.jpg,British_Shorthair,4,British_Shorthair,9,Russian_Blue,0.6804086,0.3146725,0.3657361,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/yorkshire_terrier_144.jpg,yorkshire_terrier_144.jpg,yorkshire_terrier,36,yorkshire_terrier,22,havanese,0.67776096,0.31125057,0.3665104,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/British_Shorthair_248.jpg,British_Shorthair_248.jpg,British_Shorthair,4,British_Shorthair,9,Russian_Blue,0.67389184,0.15405884,0.51983297,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/american_pit_bull_terrier_15.jpg,american_pit_bull_terrier_15.jpg,american_pit_bull_terrier,13,american_pit_bull_terrier,34,staffordshire_bull_terrier,0.65644413,0.3363493,0.32009482,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/shiba_inu_173.jpg,shiba_inu_173.jpg,shiba_inu,33,shiba_inu,15,beagle,0.6552848,0.0044394233,0.6508454,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/British_Shorthair_239.jpg,British_Shorthair_239.jpg,British_Shorthair,4,British_Shorthair,5,Egyptian_Mau,0.65045345,0.13661112,0.51384234,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/Birman_185.jpg,Birman_185.jpg,Birman,2,Birman,8,Ragdoll,0.6442044,0.34676388,0.2974405,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/Bengal_160.jpg,Bengal_160.jpg,Bengal,1,Bengal,5,Egyptian_Mau,0.6423001,0.078434706,0.5638654,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/american_pit_bull_terrier_2.jpg,american_pit_bull_terrier_2.jpg,american_pit_bull_terrier,13,american_pit_bull_terrier,34,staffordshire_bull_terrier,0.64129514,0.35133567,0.28995946,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/Ragdoll_228.jpg,Ragdoll_228.jpg,Ragdoll,8,Ragdoll,2,Birman,0.6284364,0.0051604877,0.6232759,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/Persian_39.jpg,Persian_39.jpg,Persian,7,Persian,8,Ragdoll,0.622862,0.3327006,0.29016137,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/japanese_chin_61.jpg,japanese_chin_61.jpg,japanese_chin,23,japanese_chin,8,Ragdoll,0.61443937,0.25197777,0.3624616,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/British_Shorthair_103.jpg,British_Shorthair_103.jpg,British_Shorthair,4,British_Shorthair,9,Russian_Blue,0.6086763,0.39060968,0.21806663,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/Maine_Coon_244.jpg,Maine_Coon_244.jpg,Maine_Coon,6,Maine_Coon,8,Ragdoll,0.6081473,0.3381402,0.27000713,False
/tmp/.keras/oxford_iiit_pet/images_extracted/images/Sphynx_61.jpg,Sphynx_61.jpg,Sphynx,11,Sphynx,8,Ragdoll,0.6078637,0.14699659,0.46086714,False
